county,precinct,office,district,candidate,party,votes
Barry,"City of Hastings, Precinct 1H",Ballots Cast,"","","",1061
Barry,"City of Hastings, Precinct 2H",Ballots Cast,"","","",840
Barry,"City of Hastings, Precinct 3H",Ballots Cast,"","","",856
Barry,"City of Hastings, Precinct 4H",Ballots Cast,"","","",1051
Barry,"Assyria Township, Precinct 1",Ballots Cast,"","","",1179
Barry,"Baltimore Township, Precinct 1",Ballots Cast,"","","",1093
Barry,"Barry Township, Precinct 1",Ballots Cast,"","","",1956
Barry,"Carlton Township, Precinct 1",Ballots Cast,"","","",1455
Barry,"Castleton Township, Precinct 1",Ballots Cast,"","","",1525
Barry,"Hastings Township, Precinct 1",Ballots Cast,"","","",1749
Barry,"Hope Township, Precinct 1",Ballots Cast,"","","",1915
Barry,"Irving Township, Precinct 1",Ballots Cast,"","","",2155
Barry,"Johnstown Township, Precinct 1",Ballots Cast,"","","",1800
Barry,"Maple Grove Township, Precinct 1",Ballots Cast,"","","",813
Barry,"Orangeville Township, Precinct 1",Ballots Cast,"","","",1992
Barry,"Prairieville Township, Precinct 1",Ballots Cast,"","","",2032
Barry,"Rutland Township, Precinct 1H",Ballots Cast,"","","",1107
Barry,"Rutland Township, Precinct 2",Ballots Cast,"","","",1522
Barry,"Thornapple Township, Precinct 1",Ballots Cast,"","","",1981
Barry,"Thornapple Township, Precinct 2",Ballots Cast,"","","",1375
Barry,"Thornapple Township, Precinct 3",Ballots Cast,"","","",2053
Barry,"Woodland Township, Precinct 1",Ballots Cast,"","","",1259
Barry,"Yankee Springs Township, Precinct 1",Ballots Cast,"","","",1919
Barry,"Yankee Springs Township, Precinct 2",Ballots Cast,"","","",1458
Barry,"City of Hastings, Precinct 1H",President,"",Joseph R. Biden,DEM,480
Barry,"City of Hastings, Precinct 1H",President,"",Donald J. Trump,REP,550
Barry,"City of Hastings, Precinct 1H",President,"",Jo Jorgensen,LIB,17
Barry,"City of Hastings, Precinct 1H",President,"",Don Blankenship,UST,1
Barry,"City of Hastings, Precinct 1H",President,"",Howie Hawkins,GRN,2
Barry,"City of Hastings, Precinct 1H",President,"",Rocky De La Fuente,NAT,1
Barry,"City of Hastings, Precinct 1H",President,"",Write-Ins,"",1
Barry,"City of Hastings, Precinct 2H",President,"",Joseph R. Biden,DEM,318
Barry,"City of Hastings, Precinct 2H",President,"",Donald J. Trump,REP,504
Barry,"City of Hastings, Precinct 2H",President,"",Jo Jorgensen,LIB,9
Barry,"City of Hastings, Precinct 2H",President,"",Don Blankenship,UST,0
Barry,"City of Hastings, Precinct 2H",President,"",Howie Hawkins,GRN,4
Barry,"City of Hastings, Precinct 2H",President,"",Rocky De La Fuente,NAT,0
Barry,"City of Hastings, Precinct 2H",President,"",Write-Ins,"",0
Barry,"City of Hastings, Precinct 3H",President,"",Joseph R. Biden,DEM,335
Barry,"City of Hastings, Precinct 3H",President,"",Donald J. Trump,REP,492
Barry,"City of Hastings, Precinct 3H",President,"",Jo Jorgensen,LIB,19
Barry,"City of Hastings, Precinct 3H",President,"",Don Blankenship,UST,3
Barry,"City of Hastings, Precinct 3H",President,"",Howie Hawkins,GRN,3
Barry,"City of Hastings, Precinct 3H",President,"",Rocky De La Fuente,NAT,0
Barry,"City of Hastings, Precinct 3H",President,"",Write-Ins,"",3
Barry,"City of Hastings, Precinct 4H",President,"",Joseph R. Biden,DEM,473
Barry,"City of Hastings, Precinct 4H",President,"",Donald J. Trump,REP,537
Barry,"City of Hastings, Precinct 4H",President,"",Jo Jorgensen,LIB,22
Barry,"City of Hastings, Precinct 4H",President,"",Don Blankenship,UST,3
Barry,"City of Hastings, Precinct 4H",President,"",Howie Hawkins,GRN,2
Barry,"City of Hastings, Precinct 4H",President,"",Rocky De La Fuente,NAT,1
Barry,"City of Hastings, Precinct 4H",President,"",Write-Ins,"",2
Barry,"Assyria Township, Precinct 1",President,"",Joseph R. Biden,DEM,274
Barry,"Assyria Township, Precinct 1",President,"",Donald J. Trump,REP,888
Barry,"Assyria Township, Precinct 1",President,"",Jo Jorgensen,LIB,8
Barry,"Assyria Township, Precinct 1",President,"",Don Blankenship,UST,1
