county,precinct,office,district,candidate,party,votes
Wayne,"City of Detroit, Precinct 1",Ballots Cast,"","","",114
Wayne,"City of Detroit, Precinct 2",Ballots Cast,"","","",161
Wayne,"City of Detroit, Precinct 3",Ballots Cast,"","","",180
Wayne,"City of Detroit, Precinct 4",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 5",Ballots Cast,"","","",108
Wayne,"City of Detroit, Precinct 6",Ballots Cast,"","","",197
Wayne,"City of Detroit, Precinct 7",Ballots Cast,"","","",217
Wayne,"City of Detroit, Precinct 8",Ballots Cast,"","","",223
Wayne,"City of Detroit, Precinct 9",Ballots Cast,"","","",94
Wayne,"City of Detroit, Precinct 10",Ballots Cast,"","","",150
Wayne,"City of Detroit, Precinct 11",Ballots Cast,"","","",27
Wayne,"City of Detroit, Precinct 12",Ballots Cast,"","","",170
Wayne,"City of Detroit, Precinct 13",Ballots Cast,"","","",115
Wayne,"City of Detroit, Precinct 14",Ballots Cast,"","","",152
Wayne,"City of Detroit, Precinct 15",Ballots Cast,"","","",196
Wayne,"City of Detroit, Precinct 16",Ballots Cast,"","","",177
Wayne,"City of Detroit, Precinct 17",Ballots Cast,"","","",184
Wayne,"City of Detroit, Precinct 18",Ballots Cast,"","","",329
Wayne,"City of Detroit, Precinct 19",Ballots Cast,"","","",187
Wayne,"City of Detroit, Precinct 20",Ballots Cast,"","","",349
Wayne,"City of Detroit, Precinct 21",Ballots Cast,"","","",204
Wayne,"City of Detroit, Precinct 22",Ballots Cast,"","","",219
Wayne,"City of Detroit, Precinct 23",Ballots Cast,"","","",224
Wayne,"City of Detroit, Precinct 24",Ballots Cast,"","","",111
Wayne,"City of Detroit, Precinct 25",Ballots Cast,"","","",203
Wayne,"City of Detroit, Precinct 26",Ballots Cast,"","","",249
Wayne,"City of Detroit, Precinct 27",Ballots Cast,"","","",154
Wayne,"City of Detroit, Precinct 28",Ballots Cast,"","","",25
Wayne,"City of Detroit, Precinct 29",Ballots Cast,"","","",100
Wayne,"City of Detroit, Precinct 30",Ballots Cast,"","","",126
Wayne,"City of Detroit, Precinct 31",Ballots Cast,"","","",262
Wayne,"City of Detroit, Precinct 32",Ballots Cast,"","","",142
Wayne,"City of Detroit, Precinct 33",Ballots Cast,"","","",235
Wayne,"City of Detroit, Precinct 34",Ballots Cast,"","","",271
Wayne,"City of Detroit, Precinct 35",Ballots Cast,"","","",119
Wayne,"City of Detroit, Precinct 36",Ballots Cast,"","","",52
Wayne,"City of Detroit, Precinct 37",Ballots Cast,"","","",250
Wayne,"City of Detroit, Precinct 38",Ballots Cast,"","","",200
Wayne,"City of Detroit, Precinct 39",Ballots Cast,"","","",246
Wayne,"City of Detroit, Precinct 40",Ballots Cast,"","","",190
Wayne,"City of Detroit, Precinct 41",Ballots Cast,"","","",155
Wayne,"City of Detroit, Precinct 42",Ballots Cast,"","","",124
Wayne,"City of Detroit, Precinct 43",Ballots Cast,"","","",280
Wayne,"City of Detroit, Precinct 44",Ballots Cast,"","","",201
Wayne,"City of Detroit, Precinct 45",Ballots Cast,"","","",205
Wayne,"City of Detroit, Precinct 46",Ballots Cast,"","","",79
Wayne,"City of Detroit, Precinct 47",Ballots Cast,"","","",213
Wayne,"City of Detroit, Precinct 48",Ballots Cast,"","","",45
Wayne,"City of Detroit, Precinct 49",Ballots Cast,"","","",133
Wayne,"City of Detroit, Precinct 50",Ballots Cast,"","","",129
Wayne,"City of Detroit, Precinct 51",Ballots Cast,"","","",187
Wayne,"City of Detroit, Precinct 52",Ballots Cast,"","","",176
Wayne,"City of Detroit, Precinct 53",Ballots Cast,"","","",206
Wayne,"City of Detroit, Precinct 54",Ballots Cast,"","","",101
Wayne,"City of Detroit, Precinct 55",Ballots Cast,"","","",174
Wayne,"City of Detroit, Precinct 56",Ballots Cast,"","","",165
Wayne,"City of Detroit, Precinct 57",Ballots Cast,"","","",113
Wayne,"City of Detroit, Precinct 58",Ballots Cast,"","","",88
Wayne,"City of Detroit, Precinct 59",Ballots Cast,"","","",149
Wayne,"City of Detroit, Precinct 60",Ballots Cast,"","","",197
Wayne,"City of Detroit, Precinct 61",Ballots Cast,"","","",124
Wayne,"City of Detroit, Precinct 62",Ballots Cast,"","","",73
Wayne,"City of Detroit, Precinct 63",Ballots Cast,"","","",303
Wayne,"City of Detroit, Precinct 64",Ballots Cast,"","","",141
Wayne,"City of Detroit, Precinct 65",Ballots Cast,"","","",200
Wayne,"City of Detroit, Precinct 66",Ballots Cast,"","","",214
Wayne,"City of Detroit, Precinct 67",Ballots Cast,"","","",142
Wayne,"City of Detroit, Precinct 68",Ballots Cast,"","","",268
Wayne,"City of Detroit, Precinct 69",Ballots Cast,"","","",187
Wayne,"City of Detroit, Precinct 70",Ballots Cast,"","","",154
Wayne,"City of Detroit, Precinct 71",Ballots Cast,"","","",213
Wayne,"City of Detroit, Precinct 72",Ballots Cast,"","","",201
Wayne,"City of Detroit, Precinct 73",Ballots Cast,"","","",170
Wayne,"City of Detroit, Precinct 74",Ballots Cast,"","","",168
Wayne,"City of Detroit, Precinct 75",Ballots Cast,"","","",182
Wayne,"City of Detroit, Precinct 76",Ballots Cast,"","","",61
Wayne,"City of Detroit, Precinct 77",Ballots Cast,"","","",76
Wayne,"City of Detroit, Precinct 78",Ballots Cast,"","","",65
Wayne,"City of Detroit, Precinct 79",Ballots Cast,"","","",159
Wayne,"City of Detroit, Precinct 80",Ballots Cast,"","","",198
Wayne,"City of Detroit, Precinct 81",Ballots Cast,"","","",327
Wayne,"City of Detroit, Precinct 82",Ballots Cast,"","","",225
Wayne,"City of Detroit, Precinct 83",Ballots Cast,"","","",308
Wayne,"City of Detroit, Precinct 84",Ballots Cast,"","","",353
Wayne,"City of Detroit, Precinct 85",Ballots Cast,"","","",198
Wayne,"City of Detroit, Precinct 86",Ballots Cast,"","","",200
Wayne,"City of Detroit, Precinct 87",Ballots Cast,"","","",16
Wayne,"City of Detroit, Precinct 88",Ballots Cast,"","","",179
Wayne,"City of Detroit, Precinct 89",Ballots Cast,"","","",109
Wayne,"City of Detroit, Precinct 90",Ballots Cast,"","","",0
Wayne,"City of Detroit, Precinct 91",Ballots Cast,"","","",283
Wayne,"City of Detroit, Precinct 92",Ballots Cast,"","","",232
Wayne,"City of Detroit, Precinct 93",Ballots Cast,"","","",117
Wayne,"City of Detroit, Precinct 94",Ballots Cast,"","","",243
Wayne,"City of Detroit, Precinct 95",Ballots Cast,"","","",230
Wayne,"City of Detroit, Precinct 96",Ballots Cast,"","","",139
Wayne,"City of Detroit, Precinct 97",Ballots Cast,"","","",97
Wayne,"City of Detroit, Precinct 98",Ballots Cast,"","","",188
Wayne,"City of Detroit, Precinct 99",Ballots Cast,"","","",63
Wayne,"City of Detroit, Precinct 100",Ballots Cast,"","","",74
Wayne,"City of Detroit, Precinct 101",Ballots Cast,"","","",10
Wayne,"City of Detroit, Precinct 102",Ballots Cast,"","","",127
Wayne,"City of Detroit, Precinct 103",Ballots Cast,"","","",110
Wayne,"City of Detroit, Precinct 104",Ballots Cast,"","","",61
Wayne,"City of Detroit, Precinct 105",Ballots Cast,"","","",79
Wayne,"City of Detroit, Precinct 106",Ballots Cast,"","","",157
Wayne,"City of Detroit, Precinct 107",Ballots Cast,"","","",80
Wayne,"City of Detroit, Precinct 108",Ballots Cast,"","","",187
Wayne,"City of Detroit, Precinct 109",Ballots Cast,"","","",0
Wayne,"City of Detroit, Precinct 110",Ballots Cast,"","","",146
Wayne,"City of Detroit, Precinct 111",Ballots Cast,"","","",179
Wayne,"City of Detroit, Precinct 112",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 113",Ballots Cast,"","","",108
Wayne,"City of Detroit, Precinct 114",Ballots Cast,"","","",122
Wayne,"City of Detroit, Precinct 115",Ballots Cast,"","","",243
Wayne,"City of Detroit, Precinct 116",Ballots Cast,"","","",160
Wayne,"City of Detroit, Precinct 117",Ballots Cast,"","","",82
Wayne,"City of Detroit, Precinct 118",Ballots Cast,"","","",163
Wayne,"City of Detroit, Precinct 119",Ballots Cast,"","","",99
Wayne,"City of Detroit, Precinct 120",Ballots Cast,"","","",135
Wayne,"City of Detroit, Precinct 121",Ballots Cast,"","","",135
Wayne,"City of Detroit, Precinct 122",Ballots Cast,"","","",82
Wayne,"City of Detroit, Precinct 123",Ballots Cast,"","","",193
Wayne,"City of Detroit, Precinct 124",Ballots Cast,"","","",157
Wayne,"City of Detroit, Precinct 125",Ballots Cast,"","","",99
