"",,1,,,,,,,2,3
"",,,,,,,,,2,5
"",,,,,,,,,,1
"",,,,,,,,,1,5
"",,,,,,,,,1,0
"",,,,,,,,,,4
"",,,,,,,,,5,2
"",,1,,,,,,,1,2
"",,,,,,,,,3,3
"",,,,,,,,,3,6
"",,,,,,,,,,2
"",,,,,,,,,,1
"",,,,,,,,,,3
"",,,,,,,,,,8
"",,,,,,,,,3,2
"",,,,,,,,,3,3
"",,,,,,,,,2,6
"",,,,,,,,,,5
"",,,,,,,,,,0
"",,,,,,,,,,3
"",,,,,,,,,1,4
"",,,,,,,,,1,0
"",,,,,,,,,1,3
"",,,,,,,,,3,5
"",,,,,,,,,3,2
"",,,,,,,,,4,7
"",,,,,,,,,2,2
"",,,,,,,,,,1
"",,,,,,,,,,6
"",,,,,,,,,1,3
"",,,,,,,,,3,2
"",,,,,,,,,1,4
"",,,,,,,,,3,3
"",,,,,,,,,,1
"",,,,,,,,,,1
"",,,,,,,,,1,1
"",,,,,,,,,3,2
"",,,,,,,,,3,0
"",,,,,,,,,4,13
"",,,,,,,,,1,5
"",,,,,,,,,1,2
"",,,,,,,,,3,3
0,0,2,0,0,0,0,0,0,65,134
