CHESTERFIELD 1,,377,144,14,174,12,4,0,,,,,,29
CHESTERFIELD 2,,704,234,21,361,30,9,5,,,,,,44
CHESTERFIELD 4,,212,81,5,103,5,3,1,,,,,1,13
CROWN POINT 1,,345,82,7,216,11,5,1,,,,,,23
CROWN POINT 2,,217,52,6,133,6,2,0,,,,,,18
CROWN POINT 3,,359,90,7,222,8,6,2,,,,,2,22
ELIZABETHTOWN 0,,658,269,24,295,12,13,5,,,,,,40
ESSEX 1,,228,147,10,49,7,1,1,,,,,,13
ESSEX 2,,181,80,11,73,9,1,0,,,,,,7
JAY 1,,1039,536,40,376,33,7,4,,,,,,43
JAY 2,,369,157,12,149,16,8,3,,,,,,24
KEENE 1,,495,305,24,132,12,3,2,,,,,,17
KEENE 2,,290,187,17,71,3,1,2,,,,,,9
LEWIS 0,,634,199,13,335,18,16,2,,,,,,51
MINERVA 0,,447,157,19,207,14,4,6,,,,1,,39
MORIAH 1,,413,119,10,225,15,3,1,,,,,2,38
MORIAH 2,,767,192,14,473,20,4,0,,,,,2,62
MORIAH 3,,462,134,12,263,11,4,3,,,,,,35
MORIAH 4,,305,108,10,157,12,1,1,,,,,,16
NEWCOMB 0,,311,80,12,163,24,2,1,,,,,,29
NORTH ELBA 1,,407,199,16,137,11,3,3,,,,1,,37
NORTH ELBA 2,,583,336,37,152,23,5,2,,,,,,28
NORTH ELBA 3,,542,252,23,206,30,6,4,,,,1,,20
NORTH ELBA 4,,510,237,22,192,16,3,2,,,,,,38
NORTH ELBA 5,,603,291,20,230,19,10,1,,,,,,32
NORTH ELBA 6,,778,390,30,274,22,7,5,,,,1,,49
NORTH ELBA 7,,345,188,14,110,13,2,2,,,,,,16
NORTH HUDSON 0,,166,28,1,107,11,4,1,,,,1,,13
SCHROON 1,,513,128,10,306,35,5,0,,,,,,29
SCHROON 2,,642,181,13,368,33,10,6,,,,,,31
ST. ARMAND 0,,786,364,56,288,20,7,9,,,,,2,40
TICONDEROGA 1,,365,110,12,203,14,3,0,,,,,,23
TICONDEROGA 2,,440,107,13,258,14,5,0,,,,,,43
TICONDEROGA 3,,290,111,3,153,5,4,0,,,,,,14
TICONDEROGA 4,,407,101,11,246,13,4,2,,,,,,30
TICONDEROGA 5,,307,91,8,173,11,3,4,,,,,,17
TICONDEROGA 6,,343,90,6,201,14,6,2,,,,,,24
WESTPORT 1,,223,110,8,80,5,1,3,,,,,,16
WESTPORT 2,,626,272,32,259,13,9,4,,,,,,37
WILLSBORO 1,,608,230,21,266,30,8,4,,,,,2,47
WILLSBORO 2,,435,161,12,200,12,6,1,,,,3,,40
WILMINGTON 0,,738,349,21,283,26,10,5,,,,,,44
COUNTY OF ESSEXTOTALS,,19470,7679,677,8869,668,218,100,0,0,0,8,11,1240
