ED,Matthew Miller - DEM,Jeff L. Gallahan - REP,Jeff L. Gallahan - CON,Cynthia L. Wade - SAM,Write-in
City of Canandaigua Ward 1 1,312,231,34,30,0
City of Canandaigua Ward 1 2,439,242,37,29,1
City of Canandaigua Ward 2 1,143,115,29,12,0
City of Canandaigua Ward 2 2,310,238,37,20,0
City of Canandaigua Ward 3 1,330,203,28,26,0
City of Canandaigua Ward 3 2,349,252,33,17,0
City of Canandaigua Ward 4 1,328,221,46,25,0
City of Canandaigua Ward 4 2,442,242,47,71,0
City of Geneva 1 1,224,89,12,6,1
City of Geneva 1 2,183,81,12,2,0
City of Geneva 2 1,289,166,23,7,0
City of Geneva 2 2,254,232,24,7,0
City of Geneva 3 1,257,115,17,3,2
City of Geneva 3 2,400,204,22,8,0
City of Geneva 4 1,184,123,16,4,0
City of Geneva 4 2,269,113,18,6,1
City of Geneva 5 1,201,78,13,3,0
City of Geneva 5 2,172,52,12,3,0
City of Geneva 6 1,154,57,7,5,0
City of Geneva 6 2,134,71,14,5,0
Town of Bristol 1,154,271,48,8,0
Town of Bristol 2,288,440,55,11,0
Town of Canadice 1,185,279,46,0,0
Town of Canadice 2,165,218,44,6,0
Town of Canandaigua 1,235,264,43,37,0
Town of Canandaigua 2,393,445,73,34,1
Town of Canandaigua 3,663,630,115,36,1
Town of Canandaigua 4,396,440,76,21,0
Town of Canandaigua 5,509,529,67,31,1
Town of Canandaigua 6,214,250,34,16,0
Town of Canandaigua 7,225,341,59,16,0
Town of East Bloomfield 1,225,374,57,7,1
Town of East Bloomfield 2,248,369,40,17,0
Town of East Bloomfield 3,249,314,48,11,1
Town of Farmington 1,240,484,81,9,0
Town of Farmington 2,296,413,68,7,0
Town of Farmington 3,413,360,53,20,0
Town of Farmington 4,316,364,54,22,0
Town of Farmington 5,190,167,26,5,0
Town of Farmington 6,475,551,72,25,0
Town of Farmington 7,380,408,51,20,0
Town of Farmington 8,282,253,30,12,0
Town of Farmington 9,206,208,45,4,0
Town of Farmington 10,58,181,26,7,0
Town of Geneva 1,253,236,26,6,0
Town of Geneva 2,317,290,27,4,0
Town of Geneva 3,292,301,35,10,0
Town of Gorham 1,164,338,38,5,1
Town of Gorham 2,176,300,49,13,0
Town of Gorham 3,237,261,39,13,0
Town of Gorham 4,196,244,31,10,0
Town of Hopewell 1,151,257,33,15,1
Town of Hopewell 2,139,362,49,15,0
Town of Hopewell 3,201,234,44,7,0
Town of Manchester 1,260,375,44,10,1
Town of Manchester 2,187,312,48,7,0
Town of Manchester 3,206,362,59,16,0
Town of Manchester 4,141,331,62,6,0
Town of Manchester 5,105,202,31,3,0
Town of Manchester 6,172,244,42,11,0
Town of Manchester 7,153,213,36,9,2
Town of Manchester 8,151,239,40,6,0
Town of Naples 1,265,290,37,7,0
"",,,,,,,,,,,
Town of Phelps 1,,217,,276,,42,,14,,1,
Town of Phelps 2,,133,,385,,40,,10,,0,
Town of Phelps 3,,155,,302,,45,,4,,0,
Town of Phelps 4,,199,,369,,61,,7,,0,
Town of Phelps 5,,189,,322,,41,,7,,0,
Town of Phelps 6,,140,,329,,35,,5,,0,
Town of Richmond 1,,206,,279,,27,,15,,0,
Town of Richmond 2,,217,,300,,56,,7,,0,
Town of Richmond 3,,232,,429,,74,,13,,0,
Town of South Bristol 1,,251,,219,,37,,2,,0,
Town of South Bristol 2,,258,,284,,53,,4,,0,
Town of Seneca 1,,98,,195,,27,,6,,0,
Town of Seneca 2,,146,,271,,33,,7,,0,
Town of Seneca 3,,172,,290,,41,,8,,0,
Town of Victor 1,,318,,410,,52,,7,,2,
Town of Victor 2,,362,,505,,54,,9,,0,
Town of Victor 3,,321,,320,,56,,6,,0,
Town of Victor 4,,265,,242,,57,,7,,0,
Town of Victor 5,,506,,553,,66,,7,,0,
Town of Victor 6,,316,,418,,77,,9,,0,
Town of Victor 7,,434,,365,,52,,7,,0,
Town of Victor 8,,424,,326,,47,,12,,1,
Town of Victor 9,,344,,431,,45,,5,,0,
Town of Victor 10,,368,,410,,51,,10,,0,
Town of Victor 11,,194,,248,,31,,7,,0,
Town of Victor 12,,324,,304,,52,,15,,1,
Town of West Bloomfield 1,,263,,408,,76,,9,,1,
Town of West Bloomfield 2,,241,,319,,65,,6,,0,
Multi-ED Collection,,275,,237,,36,,11,,0,
Total,,"23,954",,"27,113",,"4,045",,"1,088",,21,
