ED,,Shauna O Toole - DEM,,Pamela A. Helming - REP,,Pamela A. Helming - CON,,Pamela A. Helming - IND,,Pamela A. Helming - SAM,,Write-in,
City of Canandaigua Ward 1 1,,259,,291,,42,,18,,0,,0,
City of Canandaigua Ward 1 2,,363,,313,,50,,28,,2,,1,
City of Canandaigua Ward 2 1,,115,,146,,36,,3,,0,,0,
City of Canandaigua Ward 2 2,,287,,280,,40,,18,,1,,0,
City of Canandaigua Ward 3 1,,294,,252,,32,,12,,6,,0,
City of Canandaigua Ward 3 2,,295,,302,,42,,17,,1,,0,
City of Canandaigua Ward 4 1,,285,,275,,52,,11,,2,,1,
City of Canandaigua Ward 4 2,,372,,342,,63,,22,,2,,0,
City of Geneva 1 1,,200,,117,,10,,14,,0,,0,
City of Geneva 1 2,,170,,99,,12,,5,,0,,0,
City of Geneva 2 1,,253,,200,,21,,13,,1,,0,
City of Geneva 2 2,,215,,275,,23,,17,,0,,0,
City of Geneva 3 1,,235,,144,,23,,5,,0,,3,
City of Geneva 3 2,,344,,272,,23,,9,,2,,0,
City of Geneva 4 1,,168,,142,,17,,15,,0,,0,
City of Geneva 4 2,,244,,142,,21,,10,,1,,1,
"",,,,,,,,,,,,,
City of Geneva 5 2,157,70,11,8,0,0
City of Geneva 6 1,143,69,11,4,0,0
City of Geneva 6 2,127,80,16,7,0,0
Town of Canandaigua 1,194,340,45,15,1,0
Town of Canandaigua 2,356,519,79,15,1,0
Town of Canandaigua 3,571,736,125,33,2,0
Town of Canandaigua 4,320,522,78,29,1,0
Town of Canandaigua 5,405,627,83,27,4,1
Town of Canandaigua 6,177,291,40,9,1,0
Town of Canandaigua 7,178,388,73,19,3,0
Town of Farmington 1,233,492,75,8,1,0
Town of Farmington 2,288,425,66,9,1,1
Town of Farmington 3,401,389,51,16,1,0
Town of Farmington 4,291,412,52,21,3,0
Town of Farmington 5,174,190,27,4,0,0
Town of Farmington 6,428,589,83,30,2,0
Town of Farmington 7,349,438,53,20,1,0
Town of Farmington 8,256,283,27,11,2,0
Town of Farmington 9,196,218,45,6,0,0
Town of Farmington 10,55,197,24,4,1,0
Town of Geneva 1,206,296,25,14,0,0
Town of Geneva 2,272,349,35,10,4,0
Town of Geneva 3,241,362,40,15,0,0
Town of Gorham 1,148,350,48,7,0,1
Town of Gorham 2,137,350,49,13,0,0
Town of Gorham 3,214,290,39,16,3,0
Town of Gorham 4,171,267,36,13,0,0
Town of Hopewell 1,123,284,35,14,1,1
Town of Hopewell 2,120,384,58,6,0,0
Town of Hopewell 3,171,268,45,4,1,0
Town of Manchester 1,241,386,46,17,1,1
Town of Manchester 2,176,314,45,21,1,0
Town of Manchester 3,183,390,59,11,1,0
Town of Manchester 4,119,351,55,13,1,0
Town of Manchester 5,103,206,26,7,0,0
Town of Manchester 6,159,258,36,9,1,1
Town of Manchester 7,146,211,39,7,1,1
Town of Manchester 8,139,239,38,13,0,0
Town of Phelps 1,190,305,42,9,1,0
Town of Phelps 2,121,398,40,11,1,0
Town of Phelps 3,124,344,44,10,0,0
Town of Phelps 4,168,397,57,13,0,0
Town of Phelps 5,166,336,43,13,1,0
Town of Phelps 6,108,354,39,10,0,1
Town of Seneca 1,68,223,26,11,0,0
Town of Seneca 2,116,305,38,9,0,0
Town of Seneca 3,140,326,42,15,0,0
Multi-ED Collection,212,247,32,14,0,0
Total,"14,069","19,754","2,741",845,61,14
