ED,"Samra G. Brouk -DEM","Samra G. Brouk -WOR","Christopher M. Missick -REP","Christopher M. Missick -CON","Christopher M. Missick -IND","Christopher M. Missick -SAM",Write-in
Town of Bristol 1,155,7,272,46,8,0,0
Town of Bristol 2,277,22,443,57,9,1,0
Town of Canadice 1,179,11,288,44,5,0,0
Town of Canadice 2,153,13,223,42,9,0,0
"Town of EastBloomfield 1",231,18,392,55,6,0,0
"Town of EastBloomfield 2",246,31,366,35,9,0,0
"Town of EastBloomfield 3",258,20,316,45,8,0,0
Town of Naples 1,251,18,300,36,5,1,0
Town of Naples 2,232,20,301,56,6,1,0
Town of Richmond 1,195,16,283,29,14,0,0
Town of Richmond 2,197,17,314,61,8,0,0
Town of Richmond 3,209,24,448,81,9,0,0
Town of South Bristol 1,248,6,225,32,3,1,0
Town of South Bristol 2,240,24,288,50,8,0,0
Town of Victor 1,316,19,410,48,7,0,0
Town of Victor 2,347,13,520,56,7,1,0
Town of Victor 3,311,18,318,55,14,1,0
Town of Victor 4,253,21,247,51,9,0,0
Town of Victor 5,507,24,542,65,15,0,0
Town of Victor 6,306,20,413,70,15,2,0
Town of Victor 7,439,22,355,49,9,0,0
Town of Victor 8,408,14,353,44,9,0,1
Town of Victor 9,330,12,447,37,11,1,0
Town of Victor 10,361,25,411,50,6,2,0
Town of Victor 11,191,7,257,30,4,0,0
Town of Victor 12,301,26,308,50,9,2,2
Town of West,,,,,,,
"",259,26,405,62,14,2,0
Bloomfield 1,,,,,,,
Town of West,,,,,,,
"",227,14,329,63,8,0,0
Bloomfield 2,,,,,,,
Multi-ED Collection,19,6,31,7,0,1,0
Total,"7,646",514,"9,805","1,406",244,16,3
