county,precinct,office,district,candidate,party,votes,unofficial
Tioga,Barton - 1,President,,Joseph R. Biden,DEM,249,NA
Tioga,Barton - 1,President,,Donald J. Trump,REP,326,NA
Tioga,Barton - 1,President,,Donald J. Trump,CON,20,NA
Tioga,Barton - 1,President,,Joseph R. Biden,WOR,5,NA
Tioga,Barton - 1,President,,Howie Hawkins,GRE,2,NA
Tioga,Barton - 1,President,,Jo Jorgensen,LBT,13,NA
Tioga,Barton - 1,President,,Brock Pierce,IND,2,NA
Tioga,Barton - 1,President,,WriteIn,,0,NA
Tioga,Barton - 1,President,,Voids,,0,NA
Tioga,Barton - 1,President,,Blanks,,1,NA
Tioga,Barton - 2,President,,Joseph R. Biden,DEM,300,NA
Tioga,Barton - 2,President,,Donald J. Trump,REP,349,NA
Tioga,Barton - 2,President,,Donald J. Trump,CON,25,NA
Tioga,Barton - 2,President,,Joseph R. Biden,WOR,10,NA
Tioga,Barton - 2,President,,Howie Hawkins,GRE,2,NA
Tioga,Barton - 2,President,,Jo Jorgensen,LBT,21,NA
Tioga,Barton - 2,President,,Brock Pierce,IND,3,NA
Tioga,Barton - 2,President,,WriteIn,,0,NA
Tioga,Barton - 2,President,,Voids,,3,NA
Tioga,Barton - 2,President,,Blanks,,4,NA
Tioga,Barton - 3,President,,Joseph R. Biden,DEM,118,NA
Tioga,Barton - 3,President,,Donald J. Trump,REP,164,NA
Tioga,Barton - 3,President,,Donald J. Trump,CON,9,NA
Tioga,Barton - 3,President,,Joseph R. Biden,WOR,4,NA
Tioga,Barton - 3,President,,Howie Hawkins,GRE,0,NA
Tioga,Barton - 3,President,,Jo Jorgensen,LBT,3,NA
Tioga,Barton - 3,President,,Brock Pierce,IND,2,NA
Tioga,Barton - 3,President,,WriteIn,,0,NA
Tioga,Barton - 3,President,,Voids,,2,NA
Tioga,Barton - 3,President,,Blanks,,2,NA
Tioga,Barton - 4,President,,Joseph R. Biden,DEM,190,NA
Tioga,Barton - 4,President,,Donald J. Trump,REP,468,NA
Tioga,Barton - 4,President,,Donald J. Trump,CON,24,NA
Tioga,Barton - 4,President,,Joseph R. Biden,WOR,7,NA
Tioga,Barton - 4,President,,Howie Hawkins,GRE,1,NA
Tioga,Barton - 4,President,,Jo Jorgensen,LBT,13,NA
Tioga,Barton - 4,President,,Brock Pierce,IND,3,NA
Tioga,Barton - 4,President,,WriteIn,,0,NA
Tioga,Barton - 4,President,,Voids,,3,NA
Tioga,Barton - 4,President,,Blanks,,2,NA
Tioga,Barton - 5,President,,Joseph R. Biden,DEM,109,NA
Tioga,Barton - 5,President,,Donald J. Trump,REP,394,NA
Tioga,Barton - 5,President,,Donald J. Trump,CON,17,NA
Tioga,Barton - 5,President,,Joseph R. Biden,WOR,2,NA
Tioga,Barton - 5,President,,Howie Hawkins,GRE,4,NA
Tioga,Barton - 5,President,,Jo Jorgensen,LBT,10,NA
Tioga,Barton - 5,President,,Brock Pierce,IND,1,NA
Tioga,Barton - 5,President,,WriteIn,,1,NA
Tioga,Barton - 5,President,,Voids,,1,NA
Tioga,Barton - 5,President,,Blanks,,2,NA
Tioga,Barton - 7,President,,Joseph R. Biden,DEM,220,NA
Tioga,Barton - 7,President,,Donald J. Trump,REP,433,NA
Tioga,Barton - 7,President,,Donald J. Trump,CON,24,NA
Tioga,Barton - 7,President,,Joseph R. Biden,WOR,5,NA
Tioga,Barton - 7,President,,Howie Hawkins,GRE,0,NA
Tioga,Barton - 7,President,,Jo Jorgensen,LBT,14,NA
Tioga,Barton - 7,President,,Brock Pierce,IND,1,NA
Tioga,Barton - 7,President,,WriteIn,,0,NA
Tioga,Barton - 7,President,,Voids,,1,NA
Tioga,Barton - 7,President,,Blanks,,1,NA
Tioga,Berkshire - 1,President,,Joseph R. Biden,DEM,178,NA
Tioga,Berkshire - 1,President,,Donald J. Trump,REP,450,NA
Tioga,Berkshire - 1,President,,Donald J. Trump,CON,43,NA
Tioga,Berkshire - 1,President,,Joseph R. Biden,WOR,19,NA
Tioga,Berkshire - 1,President,,Howie Hawkins,GRE,2,NA
Tioga,Berkshire - 1,President,,Jo Jorgensen,LBT,9,NA
Tioga,Berkshire - 1,President,,Brock Pierce,IND,5,NA
Tioga,Berkshire - 1,President,,WriteIn,,0,NA
Tioga,Berkshire - 1,President,,Voids,,3,NA
Tioga,Berkshire - 1,President,,Blanks,,3,NA
Tioga,Candor - 1,President,,Joseph R. Biden,DEM,239,NA
Tioga,Candor - 1,President,,Donald J. Trump,REP,363,NA
Tioga,Candor - 1,President,,Donald J. Trump,CON,18,NA
Tioga,Candor - 1,President,,Joseph R. Biden,WOR,24,NA
Tioga,Candor - 1,President,,Howie Hawkins,GRE,1,NA
Tioga,Candor - 1,President,,Jo Jorgensen,LBT,14,NA
Tioga,Candor - 1,President,,Brock Pierce,IND,4,NA
Tioga,Candor - 1,President,,WriteIn,,0,NA
Tioga,Candor - 1,President,,Voids,,2,NA
Tioga,Candor - 1,President,,Blanks,,0,NA
Tioga,Candor - 2,President,,Joseph R. Biden,DEM,102,NA
Tioga,Candor - 2,President,,Donald J. Trump,REP,285,NA
Tioga,Candor - 2,President,,Donald J. Trump,CON,27,NA
Tioga,Candor - 2,President,,Joseph R. Biden,WOR,7,NA
Tioga,Candor - 2,President,,Howie Hawkins,GRE,0,NA
Tioga,Candor - 2,President,,Jo Jorgensen,LBT,2,NA
Tioga,Candor - 2,President,,Brock Pierce,IND,2,NA
Tioga,Candor - 2,President,,WriteIn,,0,NA
Tioga,Candor - 2,President,,Voids,,0,NA
Tioga,Candor - 2,President,,Blanks,,2,NA
Tioga,Candor - 3,President,,Joseph R. Biden,DEM,195,NA
Tioga,Candor - 3,President,,Donald J. Trump,REP,413,NA
Tioga,Candor - 3,President,,Donald J. Trump,CON,23,NA
Tioga,Candor - 3,President,,Joseph R. Biden,WOR,13,NA
Tioga,Candor - 3,President,,Howie Hawkins,GRE,3,NA
Tioga,Candor - 3,President,,Jo Jorgensen,LBT,11,NA
Tioga,Candor - 3,President,,Brock Pierce,IND,1,NA
Tioga,Candor - 3,President,,WriteIn,,0,NA
Tioga,Candor - 3,President,,Voids,,1,NA
Tioga,Candor - 3,President,,Blanks,,0,NA
Tioga,Candor - 4,President,,Joseph R. Biden,DEM,317,NA
Tioga,Candor - 4,President,,Donald J. Trump,REP,450,NA
Tioga,Candor - 4,President,,Donald J. Trump,CON,35,NA
Tioga,Candor - 4,President,,Joseph R. Biden,WOR,26,NA
Tioga,Candor - 4,President,,Howie Hawkins,GRE,0,NA
Tioga,Candor - 4,President,,Jo Jorgensen,LBT,13,NA
Tioga,Candor - 4,President,,Brock Pierce,IND,2,NA
Tioga,Candor - 4,President,,WriteIn,,0,NA
Tioga,Candor - 4,President,,Voids,,4,NA
